Unnamed: 0,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
401,Africa,Madagascar,Antananarivo,12,74.1,23.39
402,Africa,Madagascar,Antananarivo,13,71.4,21.89
403,Africa,Madagascar,Antananarivo,14,69.1,20.61
404,Africa,Madagascar,Antananarivo,15,65.7,18.72
405,Africa,Madagascar,Antananarivo,16,69.2,20.67
406,Africa,Madagascar,Antananarivo,17,68.9,20.5
407,Africa,Madagascar,Antananarivo,18,70.8,21.56
408,Africa,Madagascar,Antananarivo,19,70.5,21.39
409,Africa,Madagascar,Antananarivo,20,69.2,20.67
410,Africa,Madagascar,Antananarivo,21,67.8,19.89
411,Africa,Madagascar,Antananarivo,22,67.3,19.61
412,Africa,Madagascar,Antananarivo,23,67.0,19.44
413,Africa,Madagascar,Antananarivo,24,67.9,19.94
414,Africa,Madagascar,Antananarivo,25,69.0,20.56
415,Africa,Madagascar,Antananarivo,26,70.6,21.44
416,Africa,Madagascar,Antananarivo,27,72.5,22.5
417,Africa,Madagascar,Antananarivo,28,70.9,21.61
418,Africa,Madagascar,Antananarivo,29,68.7,20.39
419,Africa,Madagascar,Antananarivo,30,68.0,20.0
420,Africa,Mauritania,Nouakchott,1,80.7,27.06
421,Africa,Mauritania,Nouakchott,2,87.4,30.78
422,Africa,Mauritania,Nouakchott,3,84.9,29.39
423,Africa,Mauritania,Nouakchott,4,81.3,27.39
424,Africa,Mauritania,Nouakchott,5,80.1,26.72
425,Africa,Mauritania,Nouakchott,6,74.3,23.5
426,Africa,Mauritania,Nouakchott,7,73.2,22.89
427,Africa,Mauritania,Nouakchott,8,74.2,23.44
428,Africa,Mauritania,Nouakchott,9,78.3,25.72
429,Africa,Mauritania,Nouakchott,10,82.0,27.78
430,Africa,Mauritania,Nouakchott,11,87.1,30.61
431,Africa,Mauritania,Nouakchott,12,84.6,29.22
432,Africa,Mauritania,Nouakchott,13,76.6,24.78
433,Africa,Mauritania,Nouakchott,14,79.5,26.39
434,Africa,Mauritania,Nouakchott,15,77.6,25.33
435,Africa,Mauritania,Nouakchott,16,77.0,25.0
436,Africa,Mauritania,Nouakchott,17,76.8,24.89
437,Africa,Mauritania,Nouakchott,18,76.2,24.56
438,Africa,Mauritania,Nouakchott,19,77.1,25.06
439,Africa,Mauritania,Nouakchott,20,72.3,22.39
440,Africa,Mauritania,Nouakchott,21,72.9,22.72
441,Africa,Mauritania,Nouakchott,22,71.4,21.89
442,Africa,Mauritania,Nouakchott,23,74.4,23.56
443,Africa,Mauritania,Nouakchott,24,76.2,24.56
444,Africa,Mauritania,Nouakchott,25,82.9,28.28
445,Africa,Mauritania,Nouakchott,26,85.4,29.67
446,Africa,Mauritania,Nouakchott,27,82.0,27.78
447,Africa,Mauritania,Nouakchott,28,80.0,26.67
448,Africa,Mauritania,Nouakchott,29,77.5,25.28
449,Africa,Mauritania,Nouakchott,30,78.3,25.72
450,Africa,Mozambique,Maputo,1,75.6,24.22
451,Africa,Mozambique,Maputo,2,77.1,25.06
452,Africa,Mozambique,Maputo,3,77.5,25.28
453,Africa,Mozambique,Maputo,4,76.4,24.67
454,Africa,Mozambique,Maputo,5,75.7,24.28
455,Africa,Mozambique,Maputo,6,77.5,25.28
456,Africa,Mozambique,Maputo,7,70.7,21.5
457,Africa,Mozambique,Maputo,8,65.8,18.78
458,Africa,Mozambique,Maputo,9,70.5,21.39
459,Africa,Mozambique,Maputo,10,74.2,23.44
460,Africa,Mozambique,Maputo,11,73.7,23.17
461,Africa,Mozambique,Maputo,12,75.8,24.33
462,Africa,Mozambique,Maputo,13,78.1,25.61
463,Africa,Mozambique,Maputo,14,79.4,26.33
464,Africa,Mozambique,Maputo,15,76.9,24.94
465,Africa,Mozambique,Maputo,16,66.9,19.39
466,Africa,Mozambique,Maputo,17,70.2,21.22
467,Africa,Mozambique,Maputo,18,74.2,23.44
468,Africa,Mozambique,Maputo,19,77.6,25.33
469,Africa,Mozambique,Maputo,20,78.3,25.72
470,Africa,Mozambique,Maputo,21,77.2,25.11
471,Africa,Mozambique,Maputo,22,77.0,25.0
472,Africa,Mozambique,Maputo,23,70.2,21.22
473,Africa,Mozambique,Maputo,24,73.6,23.11
474,Africa,Mozambique,Maputo,25,70.7,21.5
475,Africa,Mozambique,Maputo,26,73.3,22.94
476,Africa,Mozambique,Maputo,27,70.5,21.39
477,Africa,Mozambique,Maputo,28,72.1,22.28
478,Africa,Mozambique,Maputo,29,75.6,24.22
479,Africa,Mozambique,Maputo,30,76.7,24.83
480,Africa,Namibia,Windhoek,1,65.6,18.67
481,Africa,Namibia,Windhoek,2,66.8,19.33
482,Africa,Namibia,Windhoek,3,69.4,20.78
483,Africa,Namibia,Windhoek,4,74.3,23.5
484,Africa,Namibia,Windhoek,5,78.4,25.78
485,Africa,Namibia,Windhoek,6,79.8,26.56
486,Africa,Namibia,Windhoek,7,77.0,25.0
487,Africa,Namibia,Windhoek,8,77.5,25.28
488,Africa,Namibia,Windhoek,9,75.9,24.39
489,Africa,Namibia,Windhoek,10,71.4,21.89
490,Africa,Namibia,Windhoek,11,73.9,23.28
491,Africa,Namibia,Windhoek,12,74.4,23.56
492,Africa,Namibia,Windhoek,13,73.4,23.0
493,Africa,Namibia,Windhoek,14,70.4,21.33
494,Africa,Namibia,Windhoek,15,59.2,15.11
495,Africa,Namibia,Windhoek,16,59.9,15.5
496,Africa,Namibia,Windhoek,17,67.5,19.72
